"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
252569,2019,"ENERO","LUNES","2019-01-28",8,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630835,-58.391528,1
252570,2019,"MARZO","LUNES","2019-03-04",11,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.628442,-58.391876,1
252571,2019,"ABRIL","MIERCOLES","2019-04-10",18,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.630313,-58.391512,1
252572,2019,"NOVIEMBRE","LUNES","2019-11-18",12,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630163,-58.391542,1
252573,2019,"ABRIL","LUNES","2019-04-01",17,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.629944,-58.391882,1
252574,2019,"AGOSTO","JUEVES","2019-08-22",22,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630662,-58.391503,1
252575,2019,"SEPTIEMBRE","DOMINGO","2019-09-29",12,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.629944,-58.391882,1
252576,2019,"MAYO","MIERCOLES","2019-05-22",17,"Robo","Robo total","SI","SI","PARQUE PATRICIOS",4,-34.627494,-58.392061,1
252577,2019,"MARZO","LUNES","2019-03-25",7,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.631683,-58.391304,1
252578,2019,"NOVIEMBRE","DOMINGO","2019-11-10",9,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.631683,-58.391304,1
252579,2019,"ABRIL","MIERCOLES","2019-04-24",20,"Robo","Robo total","SI","SI","PARQUE PATRICIOS",4,-34.631584,-58.391101,1
252580,2019,"ENERO","VIERNES","2019-01-18",8,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.631683,-58.391304,1
252581,2019,"FEBRERO","MARTES","2019-02-26",11,"Robo","Robo total","SI","SI","PARQUE PATRICIOS",4,-34.631191,-58.391341,1
252582,2019,"NOVIEMBRE","LUNES","2019-11-25",0,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.631584,-58.391101,1
252583,2019,"OCTUBRE","JUEVES","2019-10-24",12,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630835,-58.391528,1
252584,2019,"FEBRERO","LUNES","2019-02-25",2,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.629506,-58.391728,1
252585,2019,"FEBRERO","VIERNES","2019-02-22",19,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630835,-58.391528,1
252586,2019,"JUNIO","DOMINGO","2019-06-16",4,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630125,-58.394453,1
252587,2019,"AGOSTO","LUNES","2019-08-05",14,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630439,-58.391593,1
252588,2019,"ABRIL","LUNES","2019-04-22",1,"Hurto","Hurto automotor","NO","NO","PARQUE PATRICIOS",4,-34.6294575,-58.3917399,1
252589,2019,"SEPTIEMBRE","SABADO","2019-09-14",1,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.630834,-58.391525,1
252590,2019,"MAYO","MIERCOLES","2019-05-01",10,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.629127,-58.391861,1
252591,2019,"MAYO","SABADO","2019-05-18",23,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630046,-58.394036,1
252592,2019,"ENERO","MARTES","2019-01-29",23,"Robo","Robo total","SI","NO","PARQUE PATRICIOS",4,-34.630834,-58.391525,1
252593,2019,"FEBRERO","MARTES","2019-02-26",16,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630835,-58.391528,1
252594,2019,"ABRIL","LUNES","2019-04-22",16,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630835,-58.391528,1
252595,2019,"MAYO","MARTES","2019-05-21",22,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.631683,-58.391304,1
252596,2019,"JUNIO","SABADO","2019-06-15",8,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630834,-58.391525,1
252597,2019,"NOVIEMBRE","MIERCOLES","2019-11-06",8,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.629944,-58.391882,1
252598,2019,"OCTUBRE","JUEVES","2019-10-31",15,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.630835,-58.391528,1
252599,2019,"MARZO","JUEVES","2019-03-14",15,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.629506,-58.391728,1
252600,2019,"MARZO","MARTES","2019-03-12",16,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.629506,-58.391728,1
252601,2019,"MAYO","LUNES","2019-05-20",13,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.63179,-58.391736,1
252602,2019,"JULIO","MIERCOLES","2019-07-03",13,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.631683,-58.391304,1
252603,2019,"ENERO","MIERCOLES","2019-01-30",23,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.630073,-58.394175,1
252604,2019,"MAYO","MARTES","2019-05-14",20,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.630835,-58.391528,1
252605,2019,"ENERO","JUEVES","2019-01-17",20,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.631702,-58.39118,1
252606,2019,"MARZO","JUEVES","2019-03-28",12,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.630835,-58.391528,1
252607,2019,"SEPTIEMBRE","VIERNES","2019-09-20",12,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.631718,-58.391249,1
252608,2019,"NOVIEMBRE","LUNES","2019-11-11",22,"Hurto","Hurto automotor","NO","NO","PARQUE PATRICIOS",4,-34.642904,-58.405889,1
252609,2019,"NOVIEMBRE","MIERCOLES","2019-11-27",1,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.641287,-58.406283,1
252610,2019,"MAYO","MIERCOLES","2019-05-29",14,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.64197,-58.407556,1
252611,2019,"ABRIL","MIERCOLES","2019-04-24",9,"Robo","Robo total","NO","SI","PARQUE PATRICIOS",4,-34.641586,-58.409052,1
252612,2019,"JUNIO","MIERCOLES","2019-06-12",17,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.640329,-58.407019,1
252613,2019,"SEPTIEMBRE","SABADO","2019-09-21",19,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.638653,-58.407116,1
252614,2019,"NOVIEMBRE","JUEVES","2019-11-14",19,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.638972,-58.409499,1
252615,2019,"NOVIEMBRE","LUNES","2019-11-04",11,"Robo","Robo total","SI","NO","PARQUE PATRICIOS",4,-34.642973,-58.40724,1
252616,2019,"ABRIL","MIERCOLES","2019-04-10",12,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.642701,-58.408746,1
252617,2019,"SEPTIEMBRE","LUNES","2019-09-30",8,"Robo","Robo total","SI","NO","PARQUE PATRICIOS",4,-34.642611,-58.408817,1
252618,2019,"DICIEMBRE","DOMINGO","2019-12-15",13,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.640698,-58.403685,1
252619,2019,"JUNIO","JUEVES","2019-06-20",18,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.640112,-58.405048,1
252620,2019,"AGOSTO","VIERNES","2019-08-09",18,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.640391,-58.402989,1
252621,2019,"DICIEMBRE","MARTES","2019-12-10",23,"Robo","Robo total","NO","SI","PARQUE PATRICIOS",4,-34.639625,-58.40515,1
252622,2019,"ENERO","MARTES","2019-01-08",18,"Robo","Robo total","NO","SI","PARQUE PATRICIOS",4,-34.639213,-58.403254,1
252623,2019,"ENERO","VIERNES","2019-01-11",22,"Robo","Robo total","SI","NO","PARQUE PATRICIOS",4,-34.640552,-58.404259,1
252624,2019,"FEBRERO","MIERCOLES","2019-02-27",20,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.639628,-58.40515,1
252625,2019,"JUNIO","JUEVES","2019-06-06",12,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.639793,-58.403184,1
252626,2019,"NOVIEMBRE","VIERNES","2019-11-15",19,"Hurto","Hurto total","NO","NO","PARQUE PATRICIOS",4,-34.640112,-58.405048,1
252627,2019,"NOVIEMBRE","MIERCOLES","2019-11-20",0,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.639628,-58.40515,1
252628,2019,"DICIEMBRE","VIERNES","2019-12-20",11,"Robo","Robo total","SI","SI","PARQUE PATRICIOS",4,-34.640391,-58.402989,1
252629,2019,"DICIEMBRE","LUNES","2019-12-02",0,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.642093,-58.404666,1
252630,2019,"ABRIL","JUEVES","2019-04-04",6,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,-34.642093,-58.404666,1
252631,2019,"FEBRERO","JUEVES","2019-02-14",15,"Robo","Robo total","SI","NO","PARQUE PATRICIOS",4,-34.642779,-58.404586,1
