id-sum;anio;mes;dia;fecha;franja;tipo;subtipo;uso_arma;uso_moto;barrio;comuna;latitud;longitud;cantidad
1;2023;ENERO;LUNES;2/01/2023;19;Vialidad;Muertes por siniestros viales;NO;NO;BELGRANO;13;-58.445.747;-34.559.570;1
2;2023;ENERO;MIERCOLES;11/01/2023;11;Vialidad;Muertes por siniestros viales;NO;NO;VILLA LUGANO;8;-58.476.557;-34.673.096;1
3;2023;ENERO;VIERNES;13/01/2023;4;Vialidad;Muertes por siniestros viales;NO;NO;SAAVEDRA;12;-58.485.670;-34.544.011;1
4;2023;ENERO;VIERNES;13/01/2023;6;Vialidad;Muertes por siniestros viales;NO;NO;PARQUE CHACABUCO;7;-58.451.874;-34.636.364;1
5;2023;ENERO;VIERNES;13/01/2023;6;Vialidad;Muertes por siniestros viales;NO;NO;PARQUE CHACABUCO;7;-58.451.874;-34.636.364;1
6;2023;ENERO;SABADO;21/1/2023;0;Vialidad;Muertes por siniestros viales;NO;NO;SD;NULL;NULL;NULL;1
7;2023;ENERO;MARTES;24/01/2023;9;Vialidad;Muertes por siniestros viales;NO;NO;BALVANERA;3;-58.392.520;-34.606.668;1
8;2023;FEBRERO;JUEVES;2/02/2023;22;Vialidad;Muertes por siniestros viales;NO;NO;RECOLETA;2; -58.405526;"
-34.592493";1
9;2023;FEBRERO;DOMINGO;5/02/2023;11;Vialidad;Muertes por siniestros viales;NO;NO;SAAVEDRA;12;-58.488.723;-34.554.966;1
10;2023;FEBRERO;MIERCOLES;8/02/2023;18;Vialidad;Muertes por siniestros viales;NO;NO;BELGRANO;13;-58.450.032;-34.557.864;1
11;2023;FEBRERO;VIERNES;17/02/2023;14;Vialidad;Muertes por siniestros viales;NO;NO;BELGRANO;13; -58.454744;-34.560.923;1
12;2023;FEBRERO;MIERCOLES;22/02/2023;16;Vialidad;Muertes por siniestros viales;NO;NO;MONTE CASTRO;10; -58.511505;-34.618.949;1
13;2023;FEBRERO;DOMINGO;26/2/2023;6;Vialidad;Muertes por siniestros viales;NO;NO;VILLA URQUIZA;12; -58.495856;-34.572.755;1
14;2023;MARZO;MARTES;1/03/2023;5;Vialidad;Muertes por siniestros viales;NO;NO;VILLA SOLDATI;8;-58.435.401;"
-34.672907";1
15;2023;MARZO;JUEVES;9/03/2023;13;Vialidad;Muertes por siniestros viales;NO;NO;NUEVA POMPEYA;4; -58.405049;-34.649.791;1
16;2023;MARZO;LUNES;13/03/2023;19;Vialidad;Muertes por siniestros viales;NO;NO;BARRACAS;4;-58.392.556;"
-34.651146";1
17;2023;MARZO;JUEVES;16/03/2023;18;Vialidad;Muertes por siniestros viales;NO;NO;BARRACAS;4; -58.370665;-34.629.488;1
18;2023;MARZO;DOMINGO;19/03/2023;3;Vialidad;Muertes por siniestros viales;NO;NO;RECOLETA;2;-58.396.134;"
-34.577117";1
19;2023;MARZO;JUEVES;23/03/2023;14;Vialidad;Muertes por siniestros viales;NO;NO;CHACARITA;15;-58.452.313;-34.590.134;1
20;2023;MARZO;SABADO;25/03/2023;5;Vialidad;Muertes por siniestros viales;NO;NO;LINIERS;9;-58.517.883;-34.639.442;1
21;2023;MARZO;MARTES;28/03/2023;14;Vialidad;Muertes por siniestros viales;NO;NO;FLORES;7;-58.471.549;-34.634.584;1
22;2023;ABRIL;DOMINGO;2/04/2023;2;Vialidad;Muertes por siniestros viales;NO;NO;PALERMO;14;-58.419.730;-34.565.225;1
23;2023;ABRIL;MARTES;4/04/2023;15;Vialidad;Muertes por siniestros viales;NO;NO;MONTE CASTRO;10;-58.505.684;-34.618.314;1
24;2023;ABRIL;JUEVES;6/04/2023;16;Vialidad;Muertes por siniestros viales;NO;NO;BELGRANO;13;-58.43957558218209;-34.548728385192796;1
25;2023;ABRIL;MARTES;7/04/2023;3;Vialidad;Muertes por siniestros viales;NO;NO;FLORESTA;10;-58.490.211;-34.621.737;1
26;2023;ABRIL;MARTES;7/04/2023;3;Vialidad;Muertes por siniestros viales;NO;NO;FLORESTA;10;-58.490.211;-34.621.737;1
27;2023;ABRIL;MIERCOLES;12/04/2023;19;Vialidad;Muertes por siniestros viales;NO;NO;CONSTITUCION;1; -58.380618;-34.617.846;1
28;2023;ABRIL;DOMINGO;16/04/2023;19;Vialidad;Muertes por siniestros viales;NO;NO;FLORES;7;-58.444.473;-34.642.148;1
29;2023;ABRIL;MARTES;18/04/2023;7;Vialidad;Muertes por siniestros viales;NO;NO;VILLA DEL PARQUE;11;-58.498.262;-34.606.638;1
30;2023;ABRIL;JUEVES;20/04/2023;4;Vialidad;Muertes por siniestros viales;NO;NO;FLORES;7;-58.432.031;-34.650.332;1
31;2023;ABRIL;JUEVES;20/4/2023;12;Vialidad;Muertes por siniestros viales;NO;NO;BARRACAS;4;-58.389.007;-34.651.199;1
32;2023;ABRIL;DOMINGO;23/04/2023;19;Vialidad;Muertes por siniestros viales;NO;NO;LINIERS;9; -58.527709;-34.639.248;1
33;2023;ABRIL;DOMINGO;23/04/2023;23;Vialidad;Muertes por siniestros viales;NO;NO;SAAVEDRA;12;-58.493.326;-34.548.367;1
34;2023;MAYO;MARTES;2/05/2023;14;Vialidad;Muertes por siniestros viales;NO;NO;LINIERS;9;-58.511.677;-34.639.233;1
35;2023;MAYO;MARTES;2/5/2023;19;Vialidad;Muertes por siniestros viales;NO;NO;NUEVA POMPEYA;4; -58.397749;-34.643.296;1
36;2023;MAYO;JUEVES;4/05/2023;4;Vialidad;Muertes por siniestros viales;NO;NO;BOEDO;5;-58.413.196;-34.638.425;1
37;2023;MAYO;JUEVES;4/05/2023;12;Vialidad;Muertes por siniestros viales;NO;NO;CHACARITA;15; -58.455120;-34.586.979;1
38;2023;MAYO;VIERNES;5/05/2023;15;Vialidad;Muertes por siniestros viales;NO;NO;SD;12;NULL;NULL;1
39;2023;MAYO;SABADO;6/05/2023;17;Vialidad;Muertes por siniestros viales;NO;NO;MATADEROS;9;-58.506.422;-34.665.259;1
40;2023;MAYO;DOMINGO;7/05/2023;11;Vialidad;Muertes por siniestros viales;NO;NO;CABALLITO;6;-58.434.309;-34.625.863;1
41;2023;MAYO;MARTES;9/05/2023;8;Vialidad;Muertes por siniestros viales;NO;NO;VELEZ SARSFIELD;10; -58.484201;-34.634.340;1
42;2023;MAYO;JUEVES;11/05/2023;16;Vialidad;Muertes por siniestros viales;NO;NO;VILLA PUEYRREDON;12;-58.501.053;-34.585.584;1
